Marca;Modelo;Tipo;Origen;Tracci—n;Precio;TamMotor;Cilindros;Caballos;Peso;Longitud
"Chevrolet";"Aveo 4dr";"Sedan";"USA";"Front";11690.00;1.60;4.00;103.00;2370.00;167.00
"Chevrolet";"Aveo LS 4dr hatch";"Sedan";"USA";"Front";12585.00;1.60;4.00;103.00;2348.00;153.00
"Chevrolet";"Cavalier 2dr";"Sedan";"USA";"Front";14610.00;2.20;4.00;140.00;2617.00;183.00
"Chevrolet";"Cavalier 4dr";"Sedan";"USA";"Front";14810.00;2.20;4.00;140.00;2676.00;183.00
"Chevrolet";"Cavalier LS 2dr";"Sedan";"USA";"Front";16385.00;2.20;4.00;140.00;2617.00;183.00
"Chevrolet";"Impala 4dr";"Sedan";"USA";"Front";21900.00;3.40;6.00;180.00;3465.00;200.00
"Chevrolet";"Malibu 4dr";"Sedan";"USA";"Front";18995.00;2.20;4.00;145.00;3174.00;188.00
"Chevrolet";"Malibu LS 4dr";"Sedan";"USA";"Front";20370.00;3.50;6.00;200.00;3297.00;188.00
"Chevrolet";"Monte Carlo LS 2dr";"Sedan";"USA";"Front";21825.00;3.40;6.00;180.00;3340.00;198.00
"Chevrolet";"Impala LS 4dr";"Sedan";"USA";"Front";25000.00;3.80;6.00;200.00;3476.00;200.00
"Chevrolet";"Impala SS 4dr";"Sedan";"USA";"Front";27995.00;3.80;6.00;240.00;3606.00;200.00
"Chevrolet";"Malibu LT 4dr";"Sedan";"USA";"Front";23495.00;3.50;6.00;200.00;3315.00;188.00
"Chevrolet";"Monte Carlo SS 2dr";"Sedan";"USA";"Front";24225.00;3.80;6.00;200.00;3434.00;198.00
"Chevrolet";"Astro";"Sedan";"USA";"All";26395.00;4.30;6.00;190.00;4605.00;190.00
"Chevrolet";"Venture LS";"Sedan";"USA";"Front";27020.00;3.40;6.00;185.00;3699.00;187.00
"Chevrolet";"Corvette 2dr";"Sports";"USA";"Rear";44535.00;5.70;8.00;350.00;3246.00;180.00
"Chevrolet";"Corvette convertible 2dr";"Sports";"USA";"Rear";51535.00;5.70;;350.00;3248.00;180.00
"Chevrolet";"Avalanche 1500";"Truck";"USA";"Al";36100.00;5.30;8.00;295.00;5678.00;222.00
"Chevrolet";"Colorado Z85";"Truck";"USA";"All";18760.00;2.80;4.00;175.00;3623.00;192.00
"Chevrolet";"Silverado 1500 Regular Cab";"Truck";"USA";"Rear";20310.00;4.30;6.00;200.00;4142.00;206.00
"Chevrolet";"Silverado SS";"Truck";"USA";"All";40340.00;6.00;8.00;300.00;4804.00;238.00
"Chevrolet";"SSR";"Truck";"USA";"Rear";41995.00;5.30;8.00;300.00;4760.00;191.00
"Chevrolet";"Malibu Maxx LS";"Wagon";"USA";"Front";22225.00;3.50;6.00;200.00;3458.00;188.00
"Chrysler";"PT Cruiser 4dr";"Sedan";"USA";"Front";17985.00;2.40;4.00;150.00;3101.00;169.00
"Chrysler";"PT Cruiser Limited 4dr";"Sedan";"USA";"Front";22000.00;2.40;4.00;150.00;3105.00;169.00
"Chrysler";"Sebring 4dr";"Sedan";"USA";"Front";19090.00;2.40;4.00;150.00;3173.00;191.00
"Chrysler";"Sebring Touring 4dr";"Sedan";"USA";"Front";21840.00;2.70;6.00;200.00;3222.00;191.00
"Chrysler";"300M 4dr";"Sedan";"USA";"Front";29865.00;3.50;6.00;250.00;3581.00;198.00
"Chrysler";"Concorde LX 4dr";"Sedan";"USA";"Front";24130.00;2.70;6.00;200.00;3479.00;208.00
"Chrysler";"Concorde LXi 4dr";"Sedan";"USA";"Front";26860.00;3.50;6.00;232.00;3548.00;208.00
"Chrysler";"PT Cruiser GT 4dr";"Sedan";"USA";"Front";25955.00;2.40;4.00;220.00;3217.00;169.00
"Chrysler";"Sebring convertible 2dr";"Sedan";"USA";"Front";25215.00;2.40;4.00;150.00;3357.00;194.00
"Chrysler";"300M Special Edition 4dr";"Sedan";"USA";"Front";33295.00;3.50;6.00;255.00;3650.00;198.00
"Chrysler";"Sebring Limited convertible 2dr";"Sedan";"USA";"Front";30950.00;2.70;6.00;200.00;3448.00;194.00
"Chrysler";"Town and Country LX";"Sedan";"USA";"Front";27490.00;3.30;6.00;180.00;4068.00;201.00
"Chrysler";"Town and Country Limited";"Sedan";"USA";"Front";38380.00;3.80;6.00;215.00;4331.00;201.00
"Chrysler";"Crossfire 2dr";"Sports";"USA";"Rear";34495.00;3.20;6.00;215.00;3060.00;160.00
"Chrysler";"Pacifica";"Wagon";"USA";"Rear";31230.00;3.50;6.00;250.00;4675.00;199.00
"Dodge";"Durango SLT";"SUV";"USA";"All";32235.00;4.70;8.00;230.00;4987.00;201.00
"Dodge";"Neon SE 4dr";"Sedan";"USA";"Front";13670.00;2.00;4.00;132.00;2581.00;174.00
"Dodge";"Neon SXT 4dr";"Sedan";"USA";"Front";15040.00;2.00;4.00;132.00;2626.00;174.00
"Dodge";"Intrepid SE 4dr";"Sedan";"USA";"Front";22035.00;2.70;6.00;200.00;3469.00;204.00
"Dodge";"Stratus SXT 4dr";"Sedan";"USA";"Front";18820.00;2.40;4.00;150.00;3182.00;191.00
"Dodge";"Stratus SE 4dr";"Sedan";"USA";"Front";20220.00;2.40;4.00;150.00;3175.00;191.00
"Dodge";"Intrepid ES 4dr";"Sedan";"USA";"Front";24885.00;3.50;6.00;232.00;3487.00;204.00
"Dodge";"Caravan SE";"Sedan";"USA";"Front";21795.00;2.40;4.00;150.00;3862.00;189.00
"Dodge";"Grand Caravan SXT";"Sedan";"USA";"All";32660.00;3.80;6.00;215.00;4440.00;201.00
"Dodge";"Viper SRT-10 convertible 2dr";"Sports";"USA";"Rear";81795.00;8.30;10.00;500.00;3410.00;176.00
"Dodge";"Dakota Regular Cab";"Truck";"USA";"Rear";17630.00;3.70;6.00;210.00;3714.00;193.00
"Dodge";"Dakota Club Cab";"Truck";"USA";"Rear";20300.00;3.70;6.00;210.00;3829.00;219.00
"Dodge";"Ram 1500 Regular Cab ST";"Truck";"USA";"Rear";20215.00;3.70;6.00;215.00;4542.00;208.00
"Ford";"Excursion 6.8 XLT";"SUV";"USA";"All";41475.00;6.80;10.00;310.00;7190.00;227.00
"Ford";"Expedition 4.6 XLT";"SUV";"USA";"Front";34560.00;4.60;8.00;232.00;5000.00;206.00
"Ford";"Explorer XLT V6";"SUV";"USA";"All";29670.00;4.00;6.00;210.00;4463.00;190.00
"Ford";"Escape XLS";"SUV";"USA";"All";22515.00;3.00;6.00;201.00;3346.00;173.00
"Ford";"Focus ZX3 2dr hatch";"Sedan";"USA";"Front";13270.00;2.00;4.00;130.00;2612.00;168.00
"Ford";"Focus LX 4dr";"Sedan";"USA";"Front";13730.00;2.00;4.00;110.00;2606.00;168.00
"Ford";"Focus SE 4dr";"Sedan";"USA";"Front";15460.00;2.00;4.00;130.00;2606.00;168.00
"Ford";"Focus ZX5 5dr";"Sedan";"USA";"Front";15580.00;2.00;4.00;130.00;2691.00;168.00
"Ford";"Focus SVT 2dr";"Sedan";"USA";"Front";19135.00;2.00;4.00;170.00;2750.00;168.00
"Ford";"Taurus LX 4dr";"Sedan";"USA";"Front";20320.00;3.00;6.00;155.00;3306.00;198.00
"Ford";"Taurus SES Duratec 4dr";"Sedan";"USA";"Front";22735.00;3.00;6.00;201.00;3313.00;198.00
"Ford";"Crown Victoria 4dr";"Sedan";"USA";"Rear";24345.00;4.60;8.00;224.00;4057.00;212.00
"Ford";"Crown Victoria LX 4dr";"Sedan";"USA";"Rear";27370.00;4.60;8.00;224.00;4057.00;212.00
"Ford";"Crown Victoria LX Sport 4dr";"Sedan";"USA";"Rear";30315.00;4.60;8.00;239.00;4057.00;212.00
"Ford";"Freestar SE";"Sedan";"USA";"Front";26930.00;3.90;6.00;193.00;4275.00;201.00
"Ford";"Mustang 2dr (convertible)";"Sports";"USA";"Rear";18345.00;3.80;6.00;193.00;3290.00;183.00
"Ford";"Mustang GT Premium convertible 2dr";"Sports";"USA";"Rear";29380.00;4.60;8.00;260.00;3347.00;183.00
"Ford";"Thunderbird Deluxe convert w/hardtop 2d";"Sports";"USA";"Front";37530.00;3.90;8.00;280.00;3780.00;186.00
"Ford";"F-150 Regular Cab XL";"Truck";"USA";"Rear";22010.00;4.60;8.00;231.00;4788.00;211.00
"Ford";"F-150 Supercab Lariat";"Truck";"USA";"Al";33540.00;5.40;8.00;300.00;5464.00;218.00
"Ford";"Ranger 2.3 XL Regular Cab";"Truck";"USA";"Rear";14385.00;2.30;4.00;143.00;3028.00;188.00
"Ford";"Focus ZTW";"Wagon";"USA";"Front";17475.00;2.00;4.00;130.00;2702.00;178.00
"Ford";"Taurus SE";"Wagon";"USA";"Front";22290.00;3.00;6.00;155.00;3497.00;198.00
"GMC";"Envoy XUV SLE";"SUV";"USA";"Front";31890.00;4.20;6.00;275.00;4945.00;208.00
"GMC";"Yukon 1500 SLE";"SUV";"USA";"Front";35725.00;4.80;8.00;285.00;5042.00;199.00
"GMC";"Yukon XL 2500 SLT";"SUV";"USA";"All";46265.00;6.00;8.00;325.00;6133.00;219.00
"GMC";"Safari SLE";"Sedan";"USA";"Rear";25640.00;4.30;6.00;190.00;4309.00;190.00
"GMC";"Canyon Z85 SL Regular Cab";"Truck";"USA";"Rear";16530.00;2.80;4.00;175.00;3351.00;192.00
"GMC";"Sierra Extended Cab 1500";"Truck";"USA";"Rear";25717.00;4.80;8.00;285.00;4548.00;230.00
"GMC";"Sierra HD 2500";"Truck";"USA";"All";29322.00;6.00;8.00;300.00;5440.00;222.00
"GMC";"Sonoma Crew Cab";"Truck";"USA";"All";25395.00;4.30;6.00;190.00;4083.00;208.00
"Honda";"Civic Hybrid 4dr manual (gas/electric)";"Hybrid";"Asia";"Front";20140.00;1.40;4.00;93.00;2732.00;175.00
"Honda";"Insight 2dr (gas/electric)";"Hybrid";"Asia";"Front";19110.00;2.00;3.00;73.00;1850.00;155.00
"Honda";"Pilot LX";"SUV";"Asia";"All";27560.00;3.50;6.00;240.00;4387.00;188.00
"Honda";"CR-V LX";"SUV";"Asia";"All";19860.00;2.40;4.00;160.00;3258.00;179.00
"Honda";"Element LX";"SUV";"Asia";"All";18690.00;2.40;4.00;160.00;3468.00;167.00
"Honda";"Civic DX 2dr";"Sedan";"Asia";"Front";13270.00;1.70;4.00;115.00;2432.00;175.00
"Honda";"Civic HX 2dr";"Sedan";"Asia";"Front";14170.00;1.70;4.00;117.00;2500.00;175.00
"Honda";"Civic LX 4dr";"Sedan";"Asia";"Front";15850.00;1.70;4.00;115.00;2513.00;175.00
"Honda";"Accord LX 2dr";"Sedan";"Asia";"Front";19860.00;2.40;4.00;160.00;2994.00;188.00
"Honda";"Accord EX 2dr";"Sedan";"Asia";"Front";22260.00;2.40;4.00;160.00;3047.00;188.00
"Honda";"Civic EX 4dr";"Sedan";"Asia";"Front";17750.00;1.70;4.00;127.00;2601.00;175.00
"Honda";"Civic Si 2dr hatch";"Sedan";"Asia";"Front";19490.00;2.00;4.00;160.00;2782.00;166.00
"Honda";"Accord LX V6 4dr";"Sedan";"Asia";"Front";23760.00;3.00;6.00;240.00;3349.00;190.00
"Honda";"Accord EX V6 2dr";"Sedan";"Asia";"Front";26960.00;3.00;6.00;240.00;3294.00;188.00
"Honda";"Odyssey LX";"Sedan";"Asia";"Front";24950.00;3.50;6.00;240.00;4310.00;201.00
"Honda";"Odyssey EX";"Sedan";"Asia";"Front";27450.00;3.50;6.00;240.00;4365.00;201.00
"Honda";"S2000 convertible 2dr";"Sports";"Asia";"Rear";33260.00;2.20;4.00;240.00;2835.00;162.00
"Hummer";"H2";"SUV";"USA";"All";49995.00;6.00;8.00;316.00;6400.00;190.00
"Hyundai";"Santa Fe GLS";"SUV";"Asia";"Front";21589.00;2.70;6.00;173.00;3549.00;177.00
"Hyundai";"Accent 2dr hatch";"Sedan";"Asia";"Front";10539.00;1.60;4.00;103.00;2255.00;167.00
"Hyundai";"Accent GL 4dr";"Sedan";"Asia";"Front";11839.00;1.60;4.00;103.00;2290.00;167.00
"Hyundai";"Accent GT 2dr hatch";"Sedan";"Asia";"Front";11939.00;1.60;4.00;103.00;2339.00;167.00
"Hyundai";"Elantra GLS 4dr";"Sedan";"Asia";"Front";13839.00;2.00;4.00;138.00;2635.00;178.00
"Hyundai";"Elantra GT 4dr";"Sedan";"Asia";"Front";15389.00;2.00;4.00;138.00;2635.00;178.00
"Hyundai";"Elantra GT 4dr hatch";"Sedan";"Asia";"Front";15389.00;2.00;4.00;138.00;2698.00;178.00
"Hyundai";"Sonata GLS 4dr";"Sedan";"Asia";"Front";19339.00;2.70;6.00;170.00;3217.00;187.00
"Hyundai";"Sonata LX 4dr";"Sedan";"Asia";"Front";20339.00;2.70;6.00;170.00;3217.00;187.00
"Hyundai";"XG350 4dr";"Sedan";"Asia";"Front";24589.00;3.50;6.00;194.00;3651.00;192.00
"Hyundai";"XG350 L 4dr";"Sedan";"Asia";"Front";26189.00;3.50;6.00;194.00;3651.00;192.00
"Hyundai";"Tiburon GT V6 2dr";"Sports";"Asia";"Front";18739.00;2.70;6.00;172.00;3023.00;173.00
"Infiniti";"G35 4dr";"Sedan";"Asia";"Rear";28495.00;3.50;6.00;260.00;3336.00;187.00
"Infiniti";"G35 Sport Coupe 2dr";"Sedan";"Asia";"Rear";29795.00;3.50;6.00;280.00;3416.00;182.00
"Infiniti";"G35 4dr";"Sedan";"Asia";"All";32445.00;3.50;6.00;260.00;3677.00;187.00
"Infiniti";"I35 4dr";"Sedan";"Asia";"Front";31145.00;3.50;6.00;255.00;3306.00;194.00
"Infiniti";"M45 4dr";"Sedan";"Asia";"Rear";42845.00;4.50;8.00;340.00;3851.00;197.00
"Infiniti";"Q45 Luxury 4dr";"Sedan";"Asia";"Rear";52545.00;4.50;8.00;340.00;3977.00;200.00
"Infiniti";"FX35";"Wagon";"Asia";"Rear";34895.00;3.50;6.00;280.00;4056.00;189.00
"Infiniti";"FX45";"Wagon";"Asia";"All";36395.00;4.50;8.00;315.00;4309.00;189.00
"Isuzu";"Ascender S";"SUV";"Asia";"All";31849.00;4.20;6.00;275.00;4967.00;208.00
"Isuzu";"Rodeo S";"SUV";"Asia";"Front";20449.00;3.20;6.00;193.00;3836.00;178.00
"Jaguar";"X-Type 2.5 4dr";"Sedan";"Europe";"All";29995.00;2.50;6.00;192.00;3428.00;184.00
"Jaguar";"X-Type 3.0 4dr";"Sedan";"Europe";"All";33995.00;3.00;6.00;227.00;3516.00;184.00
"Jaguar";"S-Type 3.0 4dr";"Sedan";"Europe";"Rear";43895.00;3.00;6.00;235.00;3777.00;192.00
"Jaguar";"S-Type 4.2 4dr";"Sedan";"Europe";"Rear";49995.00;4.20;8.00;294.00;3874.00;192.00
"Jaguar";"S-Type R 4dr";"Sedan";"Europe";"Rear";63120.00;4.20;8.00;390.00;4046.00;192.00
"Jaguar";"Vanden Plas 4dr";"Sedan";"Europe";"Rear";68995.00;4.20;8.00;294.00;3803.00;200.00
"Jaguar";"XJ8 4dr";"Sedan";"Europe";"Rear";59995.00;4.20;8.00;294.00;3803.00;200.00
"Jaguar";"XJR 4dr";"Sedan";"Europe";"Rear";74995.00;4.20;8.00;390.00;3948.00;200.00
"Jaguar";"XK8 coupe 2dr";"Sports";"Europe";"Rear";69995.00;4.20;8.00;294.00;3779.00;187.00
"Jaguar";"XK8 convertible 2dr";"Sports";"Europe";"Rear";74995.00;4.20;8.00;294.00;3980.00;187.00
"Jaguar";"XKR coupe 2dr";"Sports";"Europe";"Rear";81995.00;4.20;8.00;390.00;3865.00;187.00
"Jaguar";"XKR convertible 2dr";"Sports";"Europe";"Rear";86995.00;4.20;8.00;390.00;4042.00;187.00
"Jeep";"Grand Cherokee Laredo";"SUV";"USA";"Front";27905.00;4.00;6.00;195.00;3790.00;181.00
"Jeep";"Liberty Sport";"SUV";"USA";"All";20130.00;2.40;4.00;150.00;3826.00;174.00
"Jeep";"Wrangler Sahara convertible 2dr";"SUV";"USA";"All";25520.00;4.00;6.00;190.00;3575.00;150.00
"Kia";"Sorento LX";"SUV";"Asia";"Front";19635.00;3.50;6.00;192.00;4112.00;180.00
"Kia";"Optima LX 4dr";"Sedan";"Asia";"Front";16040.00;2.40;4.00;138.00;3281.00;186.00
"Kia";"Rio 4dr manual";"Sedan";"Asia";"Front";10280.00;1.60;4.00;104.00;2403.00;167.00
"Kia";"Rio 4dr auto";"Sedan";"Asia";"Front";11155.00;1.60;4.00;104.00;2458.00;167.00
"Kia";"Spectra 4dr";"Sedan";"Asia";"Front";12360.00;1.80;4.00;124.00;2661.00;178.00
"Kia";"Spectra GS 4dr hatch";"Sedan";"Asia";"Front";13580.00;1.80;4.00;124.00;2686.00;178.00
"Kia";"Spectra GSX 4dr hatch";"Sedan";"Asia";"Front";14630.00;1.80;4.00;124.00;2697.00;178.00
"Kia";"Optima LX V6 4dr";"Sedan";"Asia";"Front";18435.00;2.70;6.00;170.00;3279.00;186.00
"Kia";"Amanti 4dr";"Sedan";"Asia";"Front";26000.00;3.50;6.00;195.00;4021.00;196.00
"Kia";"Sedona LX";"Sedan";"Asia";"Front";20615.00;3.50;6.00;195.00;4802.00;194.00
"Kia";"Rio Cinco";"Wagon";"Asia";"Front";11905.00;1.60;4.00;104.00;2447.00;167.00
"Land Rover";"Range Rover HSE";"SUV";"Europe";"All";72250.00;4.40;8.00;282.00;5379.00;195.00
"Land Rover";"Discovery SE";"SUV";"Europe";"All";39250.00;4.60;8.00;217.00;4576.00;185.00
"Land Rover";"Freelander SE";"SUV";"Europe";"All";25995.00;2.50;6.00;174.00;3577.00;175.00
"Lexus";"GX 470";"SUV";"Asia";"All";45700.00;4.70;8.00;235.00;4740.00;188.00
"Lexus";"LX 470";"SUV";"Asia";"All";64800.00;4.70;8.00;235.00;5590.00;193.00
"Lexus";"RX 330";"SUV";"Asia";"All";39195.00;3.30;6.00;230.00;4065.00;186.00
"Lexus";"ES 330 4dr";"Sedan";"Asia";"Front";32350.00;3.30;6.00;225.00;3460.00;191.00
"Lexus";"IS 300 4dr manual";"Sedan";"Asia";"Rear";31045.00;3.00;6.00;215.00;3255.00;177.00
"Lexus";"IS 300 4dr auto";"Sedan";"Asia";"Rear";32415.00;3.00;6.00;215.00;3285.00;177.00
"Lexus";"GS 300 4dr";"Sedan";"Asia";"Rear";41010.00;3.00;6.00;220.00;3649.00;189.00
"Lexus";"GS 430 4dr";"Sedan";"Asia";"Rear";48450.00;4.30;8.00;300.00;3715.00;189.00
"Lexus";"LS 430 4dr";"Sedan";"Asia";"Rear";55750.00;4.30;8.00;290.00;3990.00;197.00
"Lexus";"SC 430 convertible 2dr";"Sports";"Asia";"Rear";63200.00;4.30;8.00;300.00;3840.00;178.00
"Lexus";"IS 300 SportCross";"Wagon";"Asia";"Rear";32455.00;3.00;6.00;215.00;3410.00;177.00
"Lincoln";"Navigator Luxury";"SUV";"USA";"All";52775.00;5.40;8.00;300.00;5969.00;206.00
"Lincoln";"Aviator Ultimate";"SUV";"USA";"Front";42915.00;4.60;8.00;302.00;4834.00;193.00
"Lincoln";"LS V6 Luxury 4dr";"Sedan";"USA";"Rear";32495.00;3.00;6.00;232.00;3681.00;194.00
"Lincoln";"LS V6 Premium 4dr";"Sedan";"USA";"Rear";36895.00;3.00;6.00;232.00;3681.00;194.00
"Lincoln";"LS V8 Sport 4dr";"Sedan";"USA";"Rear";40095.00;3.90;8.00;280.00;3768.00;194.00
"Lincoln";"LS V8 Ultimate 4dr";"Sedan";"USA";"Rear";43495.00;3.90;8.00;280.00;3768.00;194.00
"Lincoln";"Town Car Signature 4dr";"Sedan";"USA";"Rear";41815.00;4.60;8.00;239.00;4369.00;215.00
"Lincoln";"Town Car Ultimate 4dr";"Sedan";"USA";"Rear";44925.00;4.60;8.00;239.00;4369.00;215.00
"Lincoln";"Town Car Ultimate L 4dr";"Sedan";"USA";"Rear";50470.00;4.60;8.00;239.00;4474.00;221.00
"MINI";"Cooper";"Sedan";"Europe";"Front";16999.00;1.60;4.00;115.00;2524.00;143.00
"MINI";"Cooper S";"Sedan";"Europe";"Front";19999.00;1.60;4.00;163.00;2678.00;144.00
